Project,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
bfs,37654.00,41493.00,48441.00,37280.00,48871.00,52200.00,44164.00,61390.00,56862.00,57092.00,47296.00
binheap,117984.00,119915.00,120832.00,120464.00,118813.00,130534.00,124920.00,125676.00,119327.00,116866.00,126034.00
bst1,122036.00,125327.00,124792.00,121635.00,123597.00,114534.00,121006.00,109026.00,112058.00,114723.00,120862.00
bst2,76410.00,76268.00,76156.00,80126.00,76287.00,85698.00,91644.00,97793.00,121442.00,127973.00,107003.00
combinations,31964.00,43884.00,49308.00,49319.00,55324.00,61589.00,66262.00,67033.00,75940.00,66382.00,78804.00
complement,39075.00,37571.00,36469.00,39580.00,39441.00,40239.00,40938.00,37867.00,38282.00,38603.00,36805.00
convert-base,104664.00,99586.00,95877.00,90813.00,91393.00,81982.00,83038.00,83717.00,78367.00,86212.00,86964.00
deque,162679.00,160021.00,146215.00,138368.00,148243.00,140098.00,134881.00,132902.00,126653.00,132900.00,124895.00
dfs,36703.00,39926.00,39991.00,38501.00,32208.00,32854.00,39947.00,58138.00,62793.00,47292.00,68491.00
dijkstras,206473.00,185956.00,188791.00,195134.00,176700.00,172997.00,147020.00,157291.00,149969.00,150490.00,135457.00
dll,145687.00,146945.00,154937.00,139671.00,133868.00,113276.00,127524.00,145071.00,126505.00,142321.00,126354.00
edit-distance,154017.00,215690.00,163955.00,146097.00,185866.00,147638.00,137502.00,158579.00,131509.00,151758.00,135194.00
factorial,12227.00,12207.00,12333.00,14478.00,12482.00,12491.00,12627.00,13378.00,16671.00,15978.00,19641.00
fenwick,125872.00,127830.00,125908.00,126968.00,115349.00,126672.00,120490.00,122783.00,130588.00,130411.00,125055.00
fibonacci,21324.00,20998.00,21162.00,21328.00,21147.00,21308.00,20982.00,27077.00,24005.00,26200.00,29070.00
find-duplicates,26767.00,26760.00,26760.00,26692.00,29519.00,36160.00,49206.00,70016.00,89247.00,70822.00,67616.00
first-missing-positive,23085.00,23002.00,23313.00,23186.00,23413.00,23369.00,25844.00,23064.00,24763.00,28373.00,23002.00
fizz-buzz,15253.00,15667.00,17254.00,16322.00,16141.00,16330.00,16587.00,19267.00,19176.00,22207.00,28162.00
graph1,150464.00,137520.00,172750.00,182738.00,169522.00,148757.00,158267.00,158333.00,136876.00,168919.00,165523.00
graph2,117925.00,121202.00,117550.00,125971.00,124059.00,118486.00,127330.00,127717.00,116748.00,135038.00,137857.00
hamming,40645.00,28288.00,40525.00,39905.00,41905.00,41096.00,37736.00,38784.00,44574.00,49016.00,44235.00
hashmap,108884.00,114152.00,110846.00,114933.00,110758.00,104689.00,102226.00,109819.00,92865.00,99702.00,107299.00
heap,88824.00,97898.00,114786.00,115784.00,106894.00,120752.00,115104.00,150130.00,130205.00,152505.00,132734.00
heapsort,108565.00,108825.00,113963.00,119656.00,118333.00,112343.00,95317.00,87971.00,87401.00,96561.00,87589.00
linked-list1,33007.00,40660.00,69858.00,82721.00,113782.00,102993.00,95699.00,101226.00,108792.00,111269.00,96680.00
linked-list2,120182.00,110133.00,122623.00,118205.00,104648.00,109541.00,91007.00,87188.00,92907.00,102106.00,109306.00
long-comm,25715.00,19517.00,21681.00,22268.00,26971.00,22037.00,26411.00,21201.00,21090.00,27854.00,27739.00
lru-cache,66951.00,84859.00,90918.00,120261.00,106519.00,129173.00,128404.00,119671.00,141580.00,111556.00,114048.00
mergesort,110408.00,132269.00,106433.00,100042.00,88492.00,87168.00,91178.00,90632.00,89440.00,93424.00,97458.00
naive-tree,142685.00,148663.00,150004.00,145668.00,145456.00,148806.00,130862.00,130355.00,135922.00,146731.00,133870.00
perm-word,420332.00,433404.00,218054.00,198090.00,214811.00,205959.00,106458.00,116770.00,99189.00,103064.00,103074.00
priority-queue1,144507.00,134558.00,128340.00,118286.00,119909.00,118067.00,118839.00,130309.00,117661.00,106077.00,119895.00
priority-queue2,23179.00,26142.00,29324.00,36817.00,37872.00,58351.00,38226.00,54181.00,34705.00,58080.00,62382.00
queue,20622.00,20615.00,20692.00,26107.00,31548.00,32166.00,30363.00,28634.00,36126.00,32907.00,33536.00
quicksort,31756.00,27497.00,31224.00,30671.00,43435.00,26699.00,43882.00,38084.00,59740.00,46377.00,65843.00
rabin-karp,104324.00,96941.00,90173.00,100329.00,91226.00,78821.00,83048.00,90724.00,90948.00,86741.00,74179.00
radixsort,128793.00,130451.00,129370.00,130996.00,135692.00,133256.00,130332.00,124633.00,127874.00,123464.00,128704.00
stack,112440.00,109416.00,106142.00,80128.00,94434.00,95744.00,87254.00,94865.00,92124.00,90180.00,92428.00
trie,119219.00,114696.00,116654.00,116766.00,118873.00,117267.00,112429.00,118365.00,116652.00,108801.00,105592.00
word-squares,133871.00,138090.00,136055.00,128402.00,129288.00,118699.00,118554.00,115005.00,117461.00,109288.00,114763.00
