prj;classes;methods;cc;rank_cc;lloc;sloc;mi;rank_mi;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
breadth_first_search.py;0;0;0;A;41;39;74.64167670057032;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
binheap.py;1;5;4;A;46;38;66.13348760334593;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
binary_search_tree.py;1;7;2;A;54;54;61.643176465109974;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
bst2.py;2;21;4;A;176;152;46.66857884184671;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
combinations.py;0;0;0;A;20;26;87.83473502961357;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
complement.py;0;0;0;A;9;8;96.26708925592482;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
convert_base.py;0;0;0;A;14;14;72.06333430469198;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
deque.py;1;8;2;A;32;22;100.0;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
depth_first_search.py;0;0;0;A;25;24;79.96478274293314;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
dijkstras.py;0;0;0;A;29;27;71.72127276690308;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
dll.py;2;9;5;A;95;83;54.21266130600658;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
edit_distance.py;0;0;0;A;48;46;70.57357596586694;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
factorial.py;0;0;0;A;7;5;77.40414304227949;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
fenwick_tree.py;1;4;3;A;23;23;64.14380587772288;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
fibonacci.py;0;0;0;A;13;11;66.16103760145398;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
find_duplicates.py;0;0;0;A;31;30;70.66659716824653;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
first_missing_positive.py;0;0;0;A;14;13;68.43898818616466;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
fizz_buzz.py;0;0;0;A;3;2;62.797200891904424;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
graph1.py;4;16;4;A;90;85;64.91111874165507;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
graph2.py;1;10;2;A;40;28;84.01031277336239;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
hamming_ops.py;0;0;0;A;11;9;67.34768039654892;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
hash_map.py;1;4;4;A;49;42;62.684885402068005;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
heap.py;1;9;3;A;50;50;41.31956618862262;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
heapsort.py;0;0;0;A;28;24;65.7399796525386;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
linked_list1.py;1;5;5;A;57;57;61.844998307752654;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
linked_list2.py;2;8;3;A;62;50;68.0633791507833;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
longest_common_prefix.py;0;0;0;A;24;21;82.61546546596124;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
lru_cache.py;2;6;3;A;56;47;58.096664592448555;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
mergesort.py;0;0;0;A;26;24;56.7853955734536;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
naive_tree.py;1;6;2;A;51;49;67.60449319642646;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
permutations.py;0;0;0;A;12;10;92.02999110044789;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
priority_queue1.py;1;5;3;A;32;32;53.11190619217876;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
priority_queue2.py;1;4;2;A;23;17;96.42748677940135;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
a_queue.py;1;5;2;A;22;15;100.0;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
quicksort.py;0;0;0;A;18;17;83.4293975169509;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
rabin_karp_substring_search.py;0;0;0;A;19;18;72.89155800886033;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
radixsort.py;0;0;0;A;20;19;76.62641650808472;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
stack.py;1;3;2;A;13;8;100.0;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
trie.py;1;3;4;A;31;31;64.67534888709491;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
word_squares.py;0;0;0;A;18;18;84.21449263989021;A;h1;h2;N1;N2;vocabulary;length;calculated_length;volume;difficulty;effort;time;bugs
